,0
257,this man is an outrage as a public servant he must be dropped from the epa and then charged with the millions of dollars of public money he has squandered
258,what were those famous words outta the donalds mouth br     drain the swamp  br      we all knew those were empty words butbr   this guys a whole nother swamp unto himselfbr      needs a name like the great dismal
259,in pruitt we see a man who was shamelessly ambitious and would stop at nothing to get ahead who obscured any lines between his personal business and public policy who enriched himself at the expense of the common people but kept them at arms length and for whom the environment is a small price to pay for having more green coming to himbrits hard to imagine trump finding anyone more emblematic of the swamp than pruitt
260,the apparent corruption cronyism and self dealing are breathtaking in scope the silence from the republican side of congress is appalling but sadly not surprising
261,pruitt is trumps minime no wonder he wont toss him to the side of the road like he has many of initial appointee
262,pruitts conceitedness radiates from his face these revelations shame congressional members who approved his nomination from pruitt to trump to devos why are antiregulation socalled conservatives also thoroughly corrupt theyve soiled their offices 
263,having scott pruit in charge of the epa is like having dracula in charge of the blood bank
264,what a pathetic sad little man  put him in his phone booth and throw away the key
265,to my mind this is the biggest threat posed by facebook the viral spread of unchecked information connected to real people in areas of extreme conflict its like the rawandan radio station urging listeners to genocide on crack facebook must have editorial boards and stations on the ground staffed with trained journalists fluent in the local language and culture just like a newspaper or media company too burdensome and expensive then shut down operations in that region simple its time for facebook to open its eyes to the horrible human tendencies it is dousing with kerosene and for governments and users to hold it responsible 
266,two suggestionsbrbr1 join airbnb so you can monitor your neighbors ad if problems arise suggest to your neighbor different ad language eg quiet street very residential youll also be able to check future availability which for an otherwise vacant townhouse suggests when to expect rentersbrbr2 get an inexpensive security cam to monitor the number of guests which may be useful for complaints to the city or for legal action while this can raise some legal privacy issues youd have ample legal counterarguments
267,i am a residential landlord with a few multifamily houses in a city i cannot imagine renting out an air bampb in a house i was not living in and even then its immoral to burden the neighbors with random strangers coming in and outbrbrlandlords that are not complete idiots most are dumber than dirt know that keeping the neighbors happy is important any neighbor that complains to me i thank because 1 they are telling me something i may not know 2 if they are complaining to me they probably havent called the city yet i try to keep it that way
268,at minimum get your neighbors contact information  if i were trying to manage a property i owned from afar or even from down the block id want the neighbors to be able to contact me or my management company  this is a requirement in the small beach town where my family has a vacation home brbrproperty owners must get permitstheres a waiting listto use their property as a shortterm rental and must give contact info to the neighbors  this is usually to the management company overseeing the rental but it is sometimes to the homeowners trying to save a few dollars by managing the property themselves  three complaints to the city and the homeowner loses the rental permit  absentee homeowners trying to work without management companies receive the most official complaints in town because there is usually no one on hand to control the renters  too bad airbnb cant do this  brbrmy    
269,nobody wants to live next to an airbnb and these properties disrupt residential neighborhoods in the worst way possible reduce the number of residential properties available for sale and for longterm rentals to actual city residents and create safety and security problems how can you know your neighbors and watch out for them if the property next door hosts a revolving door of tourists the fact is airbnbs are unsupervised hotels operating in residential neighborhoods and security for them is effectively outsourced to neighbors who will be the first response to any problems in areas where operating airbnbs is illegal the platform supports people who do it anyway thus enabling tax cheats and scofflaws im disappointed that ms kaysen didnt point out the obvious having an airbnb next door reduces your property value safety and security and quality of life brbrcontact your local codes department and find out if this use is legal if it isnt support action to shut the airbnb down if it is work with your local government to change the law to protect actual residents property values rather than the rights of investors who want to make a fast buck at neighbors expense
270,unfortunately if you read the article it sounds like what this persons neighbor is doing is perfectly legal under nyc code as long as she isnt using any rooms as bedrooms that do not qualify as bedrooms brbrthere are many air bampbs in nyc that would not be legal such as apartments in multiple dwelling structures but this one sounds legal 
271,its rare that i can make it through a saturday with no lookups but i was able to on this one with a lot of effort gaymarriage and eroticnovel both gave me helpful footholds brbrim so glad to see across the great divide posted i love the band so much and i am grateful i got to see levon helm perform at one of his midnight rambles shortly before he passed my husband and i watch the last waltz and festival express over and over  highly recommended films
272,wordplay question  how can i read yesterdays or any previous days wordplay  there no longer seems to be a link  if you cant answer this today theres probably no point  thanks
273,isnt isaiah misspelled in the puzzle
274,this puzzle looked pretty hopeless to me at first managed to get a dozen or so answers before life took over the next few hours were so busy i gave absolutely no thought to the puzzle upon my return things didnt look much better but then i got one word then another  until only two words were incomplete over to caitlin then which gave me ferrell and then came the music
275,for the first time my progress echoed very closely that of the author of the article not of the puzzle im pretty sure that has no significance but it comforts me anyway ive been doing this for about fifty or sixty years 
276,i keep seeing comments about people using computers or friends or whomever i always thought the challenge to crosswords especially the times was to do it singlehandedly no references aids or friends not much of a challenge to me can someone clue me in on the rules if any is it anything goes
277,che is a slang term used for someone from argentina which is how ernesto guevara got his nickname  it comes from an interjection used along the rio de la plata that i always thought was related to italian ce since there are so many argentinians of italian origin though this wikipedia article says otherwisebra hrefhttpsenwikipediaorgwikicheinterjection titlehttpsenwikipediaorgwikicheinterjection targetblankhttpsenwikipediaorgwikicheinterjectiona
278,imho this seemed a really smooth for a first accepted try good clues welldone daniel thank you brbrmy mistakes  i though that take a nap or lie in bed were too obvious so tried swimming and pedicure first no sure if i was misdirected or lost my way all by  myself had love for heart  before core  fooled by a misdirection i think core is of course where nuclear reactions take place in a generator  so we are back to love maybe kept flipping  between orca and seal seal crossed with left for second hand which i liked better than aide   full disclosure there was a full stop in one of the squares  25 and i decided it was a trick entering punctuation  marks full stop old  brbrloved almost all of the two word long fills til claret is how the english call bordeaux brbra question  is loser a juvenile put down even when said by 72 years old men brbrgood puzzle 
279,a pretty darn near perfect saturday puzzle as far as im concerned  challenging but solvable  a good guess or two leading to more good guesses with help from a few crossing letters  welcome aboard daniel
280,congratulations on a fine debut daniel and welcome to the constructors stable  look forward to seeing you again soon  but dont take too much time away from your research thats important stuffbrbrthought i wasnt going to get anywhere in ne until i took a chance on che had been thinking bolivia rather than argentina  that gave me a toehold that led to eroticsomething some ds and the whole rest of the sectorbrbri also thought of the classroom for 13d but not for bathroom passes  tried unsuccessfully to fit in i know i know  ive heard of bubble tea but wasnt sure what it was thought maybe made with club soda  googled sounds ghastlybrbrid heard of zoolander and thought stiller which messed me up  postsolve google showed that practically everyone was in that movie  also in dr t and the women  didnt know riggs at all but didnt bother googling lethal weapon since i remembered how thoroughly avoidable it wasbrbrthe eye didnt look so good to me  i wanted side eyebrbrron kovics book was excellent  too bad it was watered down into a mediocre movie script made even worse by the miscasting of tom cruisebrbrnever read the erotic novel at 1a but i assume some of the characters lie in bed which isnt nicebrbrarent eros and erotic novel a dupe of sortsbrbrthanks for the saturday entertainment daniel et al  come back soon
281,still seething over yesterdays scry 45d which i figured was the constructors use of some obscure icelandic language scrj sounds like it could be something out of norse mythology so i went with itbrbrsaturday puzzle was much easier than it first started out i contemplated i need to go for 13d but it may have been a subliminal clue since i had just finished my 3rd cup of coffee brbralso never heard of bubbletea but i imagine it is some sort of carbonated fruit drink brbranother fun puzzle thanks to nierenbergshortz 
282,one of the more enjoyable saturday puzzles some of the saturday puzzles have clues that are so obscure as to make it unenjoyable this one was challenging but doable 
283,about the kilt clue i blame autocorrect it undoubtedly it was meant to read attire thats often checked and then we could all laugh and tell stories about whats worn under it and ponder a connection to 1a and 42d
284,in this puzzle ineedhelp is standing over a ledge 
285,my favorite puzzle in the last two weeks please return soon i love the slightly twisted clues that could go two directions had goal posts instead of helipads for a very long time made the sw quite a challenge
286,the puzzle was fine interesting long stacked entries brbrsome clues i particularly liked were for shadow box heliports i like the clue more than the entry  even see attached which seem unremarkable tickled my fancy a bit simply because i have done that often myselfbrbrsome iffy cluing  particularly many picked up on kilt not being checkered  heres another one  bubble tea are not fruity  yes some variations can have fruit flavoring but it is actually milk tea ie tea sweetened and milk added served cold with boba tapioca balls in them the most common form has nothing to do with fruit
287,wow i went down the rabbit hole on tartan and plaid after i solved the puzzle i spent half an hour at least surfing fabric pages scots pages etc and finally realized there is one set of terms for classic tartans plaids etc and then theres what everybody else meansbrbrmy main stumbling block i eventually saw had been my unexamined connection between checkered and checkerboard an item which is of course made up of squares all the same size hmm come to think of it i will now have to go find out which came first the check or the  cannot think of a good pun on chicken or the egg entries welcomebrbrbtw for me this was a hard but fair puzzle fair as usual meaning i managed to finish it with no lookups     brbrkovik next to isiah was the cliffhanger didnt know either but in the end couldnt remember seeing that many checkered belts and the penny dropped whew brbrcongrats daniel nierberg and do come back soon
288,ah so today we faced the nierenberg trial  and what a great saturday debut it was talk about starting at the top daniel  congratulationsbrbrenjoy your daybrbrand not are your construction skills impressive your research sounds remarkable too
289,i agree with others consternation over the cluing for kilt  while you do find the occasional kilt that is made from tweed a fabric that is in fact checkered most are made from tartan which is most certainly not checkered be that as it may this was a fun puzzle
290,hoo boy  i resisted as long as possible in re attire thats often checkered but in the end kilt as in that nearly kilt me was in the grid  every one of my dna strands 71 suffered  i invite you to view the waddell tartan and show me any checks on it  argh argh argh  brbrthis was really a tough puzzle with several sports figures some old film characters and actors and corporations cars computer stuff and a case from scotusbrstill puzzling over the gynecologist dr t and bubble tea  who bothers with the term coed nowadays  and dont chefs deal in quantities greater than tspsbrfinally a pretty specific term at 8dwhich i knew because im an old special ed teacherbut which i am betting few people had off the batbrbrcan someone tell stan newman that the link to print a pdf of the saturday stumper is not working  blank page  and his contact form will not accept the test wordsi typed in 6 of them all correctly and they were all rejected  sheesh  or should i say yeesh
291,maybe i should take up a different hobby  today i only knew one of the proper names che and that didnt get me very far  so i needed help however with a few letters in place it gradually came together but very slowly but with some interesting entries brbrcongratulations on the debut daniel brbri just read your comment amitai and see that i came upwith the same line 
292,somethirg odd occurredbri solved the puzzle several hours ago i needed help though it almost kilt me and was granted the gold starbrnow that i wanted to add a comment the star is still there but clicking on it recalls a blank grid so let this be the comment 
293,nice dual debut today here and wapo  especially love that obergefell was a clue
294,this was the very first saturday puzzle i ever managed to solve with zero help i honestly didnt believe this day would ever come im pretty stokedbrbri got most of the puzzle done pretty fast but the se section stumped me completely for the longest time i spent over 30 minutes on that section alone but eventually the penny dropped with 39d 42d and 52d
295,fine debut daniel if not the most challenging saturday on record  best wishes to you in your crossword and noncrossword endeavors we will surely benefit from both  my only delay was being convinced 25a was sure until the art critics sold me on a different entry
296,in re checkered for kilt 46abrbra hrefhttpwwwthesauruscombrowsecheckered titlehttpwwwthesauruscombrowsecheckered targetblankhttpwwwthesauruscombrowsecheckereda
297,very nice debut with some lively entries and clever clues not a complete success for me of course but i think i might have learned something today brbri almost always end up doing themeless puzzles or any tough puzzle the same way ill start up top get stuck or just not have some things dawn on me right away and move on until i get to the bottom then ill take a deep breath and try a little harder and be more patient and end up working the puzzle from the bottom up today i got a bit more than halfway up and got stuck again and resorted to a couple of failed checks and finally looking up ferrellbrbras i look at this one if id just gone back to the north both nw and ne and tried a little harder i think i could have worked my way back down from there i see where i hesitated to put in my best guess on several answers on my first pass but filled them in immediately when i got back up there maybe ill learn  
298,as an undergrad checkered past i ran labs at night while working as a college dj  i would put my show on reel to reel tape marking the counter when i would need to do a station id i then had about 50 minutes to run over to the science building and back with no one the wiser  brbrgreatbeyond caused all kinds of trouble until lira and tree came to light local cat lady for whom i am foster parenting two cats suggested i take the cats with me to maine for the summah  i demurred citing many motels nopets policy  good news is cats actual owner will take them back in 2 weeksbrbronly grumble was claret as a color i am sure it is one butbrbrnice work daniel
299,this was an enjoyable march led by cracks that let the light in with some lovely answers the eye shadow box and the entire gorgeous se stack plus a great clue for aide second hand for which i confidently threw in used  it was the second day in a row with a high count of double es 6 and had the terrific cross of oh stop it and tire ofbrbrfor me the puzzle had a bit less resistance than yesterdays offering as the cluing today was more direct but i was charmed by its fresh feel  what a great start  to debut on a saturday  and im looking for more from you daniel
300,nicely clued throughout had ineedtogo and nokids first  last to fall was nehi i had had notart rather than nonart loved the clue for bee excellent puzzle thanks
301,congratulations mr nierenberg  this went pretty smoothly with the nw filling in first not typical for a saturday for me  i didnt have t raise my hand even once  
302,a plaid is not a checker pattern  checkers are all the same size and shape
303,had to do a little research to get some of these but erotic novel was my first entry which started the nw corner off fairly well started with helipad saw it was too short and went for heliport then shadowbox orca was a gimme and then the downs helped a lot in the se in the ne i was thinking more of classrooms and tried i need to go before i need help but bubble tea filled in as soon as i had bic uno and bee overall i did it in half my sat averagebrbrinteresting note some orcas have learned how to kill great white sharks as well as penguins they ram the shark which stuns it then hold it inverted which makes the shark go into a kind of trance and hold it that way until it dies
304,of course obergefell didnt concern gay marriage it concerned the rights of gay people to just plain marriage
305, im not an expert on kilts but im pretty sure they are usually plaid not checkered 
306,a little slower than average for me had a lot of empty space in the e and se for a long while i knew obergefell was a recent case and thought maybe abortion or birth control but couldnt get either to work tried i need to go for 13d so that didnt help  after i had many letters i thought maybe carrell for 37a brbrcant say i really get themed for topical i think of topical as related to current events hmm i guess topical as in on some topic so i guess that worksbrbrgreat divide is a new one on me bubble tea seemed vaguely familiar though i had no idea what it wasbrbrbee orb ncis che epee itsy lysis nonart cris orca shadow box isiah brae drt were entrees for me
307,nice and challenging slightly easier than yesterday scored an eagle compared to my saturday par nice misdirection on touchdowns
308,theres a very musical quality to the stack in the lower rightbrbrthe mist gathers grey oer moorland and braebro wither sae far are ye roaminbra hrefhttpswwwyoutubecomwatchvgxgvfjqsqqg titlehttpswwwyoutubecomwatchvgxgvfjqsqqg targetblankhttpswwwyoutubecomwatchvgxgvfjqsqqgabrbr but what it takes to cross the great dividebrseems more than all the courage i can muster up insidebra hrefhttpswwwyoutubecomwatchvdjviwpjzxc titlehttpswwwyoutubecomwatchvdjviwpjzxc targetblankhttpswwwyoutubecomwatchvdjviwpjzxcabrbrthe greek verb luein at the root of the form lysis analysis dialysis electrolysis is one of the basic paradigm verbs for studying classical greek it means to dissolve
309,clean challenging puzzle i liked it last to fall was gay marriage i wanted to put in same sex but it didnt fit kovic was one of tom cruises best roles happy 25001 puzzle
310,gee if i knew the great divide meant the passage between life and death i never would have planned that trip to colorado 
311,in browser a hrefhttpswwwnytimescomcolumnwordplay titlehttpswwwnytimescomcolumnwordplay targetblankhttpswwwnytimescomcolumnwordplaya scroll down
312,thats how mr thomas spells it
313,its an honor system you make your own rules i also note theres not a lot of boasting here theres not much use in comparing streaks or completion times since one person may have used google and the other did not here are my personal rules no lookups at all sunday thru thursday help with proper names on friday and saturday if im down to no more than one blank crossing letter this usually happens when two proper nouns cross i never look at full answer keys i also look up less and less each week because now i know how to spell esai morales todays isiah thomas is a good example i had all 5 letters and it still looked wrong so i bingd for the spelling
314,in a crossword puzzle tournament there are rulesbrfor amusement only do whatever you likebrbrit is polite but not required to note here how you solve not just that you have solved and most commenters do just that  brbrsolo no references
315,okay i get it thanks it is not too much fun for me to look up answers so i never got that esaimorales i dont even know who she or he is but i figured it had to be right sometimes i just leave a puzzle i cant solve now to be really honest i am at the age where i forget things and the crossword is kind of my reference point if i can still solve it no dementia no alzheimers  in a way i owe will  what i would be spending on whatever specialty would reach the same conclusion  now that would be a good theme wouldnt it dementia
316,does that make you a cubist or a square alanjbrhee heebrbra hrefhttpsyoutubec5p5eqiknqst33s titlehttpsyoutubec5p5eqiknqst33s targetblankhttpsyoutubec5p5eqiknqst33sa
317,what what 
318,i dont understand the full stop reference  all ive got in square 25 is an s
319,im not among those who complain about names from pop culture but have to say that neither ben stiller nor will ferrell are names i jump for joy to see here or on the marquee chacun etc
320,the best kind
321,someone do something 
322,i would have expected bubble tea to show up first in a clue  since tapioca has so many useful letters and i also was led astray by the word fruity
323,no milk necessary for bubble tea on the other hand re other comments i dont think it is ever carbonated
324,mickey strictly speaking no bubble tea doesnt require milk however simply tea sweetened or otherwise wouldnt be nearly as good in a bubble tea  milk adds the creaminess sugar the sweetness which complements the astringent tea and the boba goes better with the sweet creaminess than with just the teabrbrbut im no connoisseur of bubble tea my family likes them and get them from time to time id have a sip or two but prefer plain oolong tea unsweetened unmilked unbobaed
325,the shah is to blame chess as we have it comes from shah mat  check mate  the shah is in deadly peril  and the word descended from that in most european languages has a hard sound at the corners  checks the board gets repurposed for a game that is only known as checkers in the angloamerican world  its dames or variants otherwise
326,dr t came out at a time when i was buying lots of dvds so i happen to have a copy my recollection is that its not very good his stepbrother mr t is much better known
327,i got oral first and had no idea what was to follow got ist from the crosses 
328,not altmans best by any means but pretty entertaining
329,i didnt remember che for a while suejean but knew dr t   had other little words here and there like bic coed idle orca and then needed help didnt remember riggs and kovic but could have gotten them with a multiple choice this was a tough solve for me and bit by bit but in the end really liked the stacks chuckled over the clues for pe and bee bud drinker a fun gotcha 
330,so proud of my fellow cincinnatian  brbrwhat he did for lovebrbra hrefhttpsmyoutubecomwatchvjcpao8ewzoo titlehttpsmyoutubecomwatchvjcpao8ewzoo targetblankhttpsmyoutubecomwatchvjcpao8ewzooa
331,woo hoo
332,congratulations on your milestone
333,yay anna somehow the day seems a little bit brighter 
334,barry i too was sure of sure but that was not my only delay 
335,me toobrbrim such a hoser  er poser  um loserbrbris there a word for how those words change sounds with different initial consonants  i learned boustrophedon here a week or two agonot that i didnt need to look it up for this comment  you guyz know everything
336,eye rhymes describes words that look like they should rhyme when spoken but dont
337,no maybe about it
338,glad i wasnt the only one who needed to gobrhee hee
339,i had a different expectation conart since some claim the whole movement was a sham to create objects rich people could buy cheaply then donate to museums with a huge tax advantage
340,would you happen to have a citation for that claim by some rmp  aside from running counter to anything ive ever read or heard about dada it seems too contemporary a dodge to ascribe to a movement that started during world war i
341,agreed a kilt pattern is plaid not checkers two completely different things
342,i was curious about this too so looked up checkered one definition is just having a pattern of squares  and most kilts do fit this technically  by contrast tartan is defined as a pattern of straight lines of different colors and widths crossing at right angles definitions are from websters new world college dictionary
343,hand up here for need to go 
344,i was thinking more of classroomsbrbri was too but crosses ruled out needing the bathroom pass
345,whereas i feel the entry is fine as written and the distinction is an important one
346,michaelbrplease see varnum v brien iowa supreme court 2009
347,alas marriage equality didnt fit although i triedbrbrbut obergefell whatever you want to call it was a longoverdue victory in the struggle against discrimination
348,actually it depends where theyre worn in the lowlands they wear checks while in the highlands they wear plaids which we usually call tartans
349,my mother comes from dundee which is in the lowlands  i googled with the intention of posting a picture of my mothers family tartan not checkered but stumbled across this song  my grandmother worked in a jute mill from the age of 13 until leaving for the united states at age 39  for all i know she may be in some of the pictures accompanying the songbrbra hrefhttpswwwyoutubecomwatchvuy0nu4kxwm4 titlehttpswwwyoutubecomwatchvuy0nu4kxwm4 targetblankhttpswwwyoutubecomwatchvuy0nu4kxwm4a
350,i hope thats not sarcasm pc its so hard to tell onlinebrthe verb that shows up in puzzles all the time as latin 101 is amoamasamat ilove youlove hesheloves luo i dissolveuntieloosen is greek 101
351,davidbrlet me refer you to sdnwotn which is barely recognized as a legitimate cyber acronymbra hrefhttpswwwacronymfindercomsarcasmdoesnotworkonthenetsdnwotnhtml titlehttpswwwacronymfindercomsarcasmdoesnotworkonthenetsdnwotnhtml targetblankhttpswwwacronymfindercomsarcasmdoesnotworkonthenetsdnwotnabrbri have a 142857 interest in this acronym which cropped up some twenty years ago in a discussion on the usenet group social culture jewish the promulgator moshe schorr suggested sdwotn in which d stands for doesnt i pointed out the obvious ambiguity of d which could be understood as does and proposed the interposition of n for not   
352,too funny amitai how easy at times to overlook the obvious
353,steve just remember this about that divide its all downhill from therebrbrthere is also an eastern continental divide atlantic ocean  gulf of mexico and i found out recently like 2 months ago that we are almost on top of it i could walk to it from here and in fact cross it almost every day easy to identify too  running through clarkston its a train track 
354,i like the map of the various divides herebra hrefhttpsenwikipediaorgwikigreatdivide titlehttpsenwikipediaorgwikigreatdivide targetblankhttpsenwikipediaorgwikigreatdividea
355,some dog owners refer to their pets going over the rainbow bridge i guess im not going to niagara falls either 
356,when you have a congress who is made up of predominantly middleaged white men the expectations of them being in touch with the everyday lives of most americans seems tenuous at best  everyday we see reminders about how nonprogressive our country has become full of outmoded ideas the highly suspicious and conspiracy theorists science deniers and true believers in fabricated journalism outoftouch outofstep we  also remain stuck in preconceived notions of gender roles is it any wonder then of the shocked reaction to discovering that the ace southwest airlines pilot who brought flight 1380 to a safe landing was a former navy pilot and a woman now a senator and war hero to boot is bringing an infant into the senate floorwonders never cease small steps will not a nation make but it sure does help
357,im sorry but the decision to have a child is a choice and with that choice there comes consequences the support and nurture of that child the workplace of which the senate floor could be loosely called is not a place to bring a child in particular a newborn  so are we going to extend the same courtesy to a young mother of two holding down two jobs to make ends meet can she bring her newborns to lie in cribs on the factory floor or better yet behind the counter at burger king i can guarantee they would walk her out the door  even in manhattan whiteshoe law firms a female partner would meet extreme resistance to having her child in the office  i strongly suspect that ms duckworth can afford daycare and should be able to make arrangements to have her child cared for while she is at work  this is vapid spectacle at best and will have absolutely no impact on those women who truly need assistance to care for their children while they toil to earn a living wage  leave your child at home tammy and do the work that our tax dollars are overpaying you for
358,we should show a bit of sympathy for senator mcconnells posttraumatic stress disorder from having to acknowledge a natural human condition
359,i have once in my life spoken with christie hefner doyenne of the playboy empire i was a staffer for the excellent the late john brademas d indiana who regularly introduced his comprehensive child care legislation brbrthink of it as what canadians would do brbrshe phoned in to support it um this would be 1969 or 70  a few years too early brbrfor the united states at least
360,i have once in my life spoken with christie hefner doyenne of the playboy empire i was a staffer for the excellent the late john brademas d indiana who regularly introduced his comprehensive child care legislation  think of it as what canadians would dobrbrshe phoned in to support it  um this would be 1969 or 70  a few years too early  brbrfor the united states at least
361,duckworth for president either one 
362,the sound of a crying baby sure beats the sound of stridently whining adults
363,just wait until she or someone else tries to breastfeed in the senate chambers 
364,tammy duckworth for president
365,still klobuchar said there were reservations some of their colleagues muttered that if you gave new mothers an inch the next thing you knew theyd be nursing on the senate floorbrbryeah sobrbrit once being okay for senators to go all buffo in the senate swimming pool i cant see what the kerfuffle is herebrbroh now i get it  one involves men and the other involves women thats whybrbri just cant wait until we show this stupid old white mens club the door
366,i briefly met sen duckworth back when she worked for the va and came to visit a program in la for combat veterans where i was working before she arrived there were a few mild jokes about the lady chopper pilot after she left there was kind of an awed silence for a little while everybody who lived at our program was working on their own stuff getting better at their own pace but after they saw and heard her speak it was a lot to think aboutbrlooks like she is still having that effect on people
367,my only objection to senator duckworth taking maile to the senate floor is the dangers inherent in exposing her to the toxic atmosphere maybe she needs to have an infant hazmat suit before being exposed to republican senators
368,i love it a majority group of mostly old mostly white mostly alpha men many of whom seem most comfortable yelling at kids to get off their lawn are suddenly faced with the unsettling prospect of infants inside their private clubhouse no doubt vapours ensued
369,i wonder whether the junior senator from texas privately threatened to filibuster this change in the chambers rules after all he most likely wants to maintain his celebrated status as the chief senate whiner
370,it certainly is understandable why gop senators would not want babies on the senate floor  brbrthese antediluvian republican politiciansfalsely advertising themselves as the family values party know they couldnt take the stares of innocent babies looking up at them in wonder and puzzlement as they pass yet another draconian budget cut and slash government programs that benefit children mothers and born babies  republicans only like fetuses and they certainly dont like other peoples childrenbrbrout of sight out of mindand these days republican politicians are outa sight with their stupidity and cruelty and outa their bloody mindsbrbrdont vote for these republican politicians until they come to their senses  could be a long wait unless we get rid of citizens united stop special interests and big donors from buying their politicians and move to the public financing of electionsbrbrwhile we are at it lets get rid of the electoral college and institute fair federal procedures for determining voting districts across this countryamongst other things  the babies would like this i think
371,thank you ms collins for highlighting all the ways tammy duckworth is an exceptional hero  the contrast between her record and that of trumps nominee to be head of nasa reminds us the senates role in advise and consent is to be more than a rubber stamp for the current president especially one like trump with a history of poorly vetting nomineesbrall us voters should be proud there are people like senduckworth willing to sacrifice and serve their country unlike the many currently in power serving only themselves and their republican party
372,the greatest news is that senator ducworth by bringing her baby in the senate elevated the intellectual calibre of the senate by 1000 in her first day in the senate baby ducworth told no lies told no stupidities did not vote for a new unqualified director of nasa in other words the presence of baby ducworth was a big win win not only for women but also for the american people
373,gail theres already a lot of teething toddlers on the floor of the senate and many have needed a diaper change for a long long time brbrwhile i welcome sen duckworth and her offspring and feel they should be welcomed everywhere including during feeding times but id like more adults in govt too we need to take away their candy change our campaign laws and make them go back to school to learn civics before allowing them to legislate anythingbrbrbut that brat in the white house needs a time out a very long time out 
374,i love gail and agree with everything she writes  i do wish she wouldnt use the trendy semiliterate expression woke though  its somewhat jarring but not very  effective  awake means the same thing and is better english
375,typically the only time members of congress remember children exist is when they suddenly announce they are quitting to spend more time with them 
376,that there was any contention at all involved with this decision illustrates just how archaic and dysfunctional the senate has become 
377,earlier this week i watched a reporter ripping on a male senator about it taking until 2018 for female senators to be allowed to bring their babies into the senate  he was apologetic but was never allowed to get a word in edgewise  finally she fired the last insult at him and cut off the feed  had i been him i would have asked what is the percentage of pay a woman receives in america vs that of a man for the same work  her answer would have been in the 70 range  then i would have said  what do you think the percentage of pay a female senator receives in america is vs that of a male senator  then i would have cut off the feedbrbrregarding bringing kids into our congress i think it is an extreme form of child abuse to expose them to the high level of incompetence there  furthermore i was amazed they were actually able to pass a rule to let senator duckworth bring her newborn into the senate
378,it amazing that the gop the party of christian family values would be against this but then i remembered that for the evangelicals in the gop christianity is only about judging others not showing any compassion
379,this column puts me in mind of michelle goldbergs column about hillary clintons complaint that they wouldnt let her win the election no she didnt allow hillary to win her own election brbrto me tammy duckworth is the antihillary bright plain spoken generous and downtoearth ms duckworth might be a powerful votegetter in a presidential race brbri doubt however that the monarchical democratic party of geriatric entitlement would ever allow such a middleaged upstart to gain a foothold in its senior leadership all seats there are reserved for the over70 crowd i hope i am wrong about thisbrbrfailing to do so pretty much assures that the party will continue to lose the younger demographic while failing to win the older we are in the midst of living with the consequences of such political mismanagement
380,absolute proof that the best multitasker is a mom  the best trailblazer is a mom  the best president will be  a mombr  any questions 
381,what we the people need now is a vote to get the dinosaurs out of the senate i mean the old men like mcconnell and grassly and another 45 or so republicans who are keeping the nation in the stone agebrcongrats to senator duckworth  i know its none of my business but having a baby at 50brblessings and love
382,why is a 50 yearold woman with the demanding job of us senator having a baby in the first place  if i was one of her constituents i wouldnt be thrilled 
383,given their opposition to abortion you would think that republicans would be falling over themselves to have a baby visit the senate  but it seems babies are not human beings who even deserve the right to be heard
384,only one way to get what youre asking for gale  everyone needs to go out and vote  of course you better hope that its the 55 of us who want these progressive things that do the voting and its not the 30 who wish it was still 1856
385,the decrepit old men objecting to mothers bringing their children onto the floor of the senate should read the handwriting on the walls and retire from the senate before their constituents wisely force them into retirement
386,i suppose its too much to hope for that the presence of a baby on the senate floor might actually move some members to consider a little more carefully how the actions theyre taking will affect all the children of our country  but would that it might be so
387,its actually a big deal for the current congressional majority to do something nice however small it is im surprised mitch or a paul didnt torpedo it senator duckworth is a true hero
388,well i guess children in congress are okay gail but we need to work on allowing congress to be fully armed on the floor  true given the canewhipping incident you mentioned carrying iron could lead to some destructive behavior  this could get to be a little dangerous when the kids get a hold of those locked and loaded gunsbrbrnow about day care  i assume that republican members of congress would need a scott pruitt or ben carsonstyle day care replete with custom oak furniture and extensive security details along with teaching staffbrbrthere was a woman who would breast feed in her office in my group that performed work for our grand government  no one save one man had an issue with it  the one who had the issue became the brunt of some humor  its finebrbrbut well roll out the sitcoms with a child running around congress  it could be interesting  in one episode the kid a cute and cuddly shirley temple type could coyly encourage republicans to do the right thing where they finally relinquishes their obsequious relationship to trump and lead an impeachment hearing  there is joyous panic on the floor a la mr smith goes to washingtonbrbrand then theres the baby that trump holds during his visit to congress during a state of the union address when the baby pees on him  this opens up a lot of possibility  im thinking that we could get it to run for about a season before the real impeachment happens
389,i admire tammy duckworth and have supported her since she entered politics i am so happy that she has had a childbrbras a person who became a parent latter in life and now in my late 60s have two daughters who are in their early 20s i sincerely wish her the strength and patience and support from her friends and family to keep her sanity when she is 72 there are times when the nearly 50 year age difference is difficult to transcend for example they have no idea what it means to use a manual or an electric typewriter  or to need change to use pay phone  or use the card catalogue at the library 
390,i have a political take on applying the title of the opinion piece caution babies voting to a different issue  there has been a great deal of media coverage for another cohort of babies that  is strongly protesting concerns about gun violence members of congress should think carefully about their positions on this issue for upcoming and future election cycles as these babies will soon be able to express their views at the polls
